year;male;CGT;tx0;tx1;tx2;tx3;tx4;tx5;tx6;tx7;tx8;tx9;tx10;tx11;tx12;tx13;tx14;tx15;tx16;tx17;tx18;tx19;tx20;tx21;tx22;tx23;tx24;tx25;tx26;tx27;tx28;tx29;tx30;tx31;tx32;tx33;tx34;tx35;tx36;tx37;tx38;tx39;tx40;tx41;tx42;tx43;tx44;tx45;tx46;tx47;tx48;tx49;tx50;tx51;tx52;tx53;tx54;tx55;tx56;tx57;tx58;tx59;tx60;tx61;tx62;tx63;tx64;tx65;tx66;tx67;tx68;tx69;tx70;tx71;tx72;tx73;tx74;tx75;tx76;tx77;tx78;tx79;tx80;tx81;tx82;tx83;tx84;tx85;tx86;tx87;tx88;tx89;tx90;tx91;tx92;tx93;tx94;tx95;tx96;tx97;tx98;tx99;tx100;tx101;tx102;tx103;tx104;tx105;tx106;tx107;tx108;tx109;tx110
2010;0;24;.00043141;.00012327;.00009438;.00007652;.0000657;.00005974;.00005752;.00005865;.00006332;.0000712;.00008075;.00009102;.00010198;.00011355;.00012567;.00013932;.00015708;.00018139;.00021099;.00023974;.00026235;.0002765;.00028066;.00027437;.00026227;.00025293;.00025008;.00025351;.00026348;.00028076;.00030481;.00033305;.00036413;.00039838;.00043613;.00047776;.0005237;.00057442;.00063047;.00069243;.00076097;.00083684;.00092086;.00101398;.00111724;.00123181;.00135902;.00150034;.00165744;.0018322;.00202602;.0022396;.00247411;.00273143;.0030136;.00332281;.00366143;.00403202;.00443734;.00488036;.00536427;.00589253;.00646884;.00709718;.00778184;.00852741;.00933884;.01022142;.01118086;.01222324;.01336578;.01464068;.01607706;.01769866;.0195332;.02161317;.02397678;.02666909;.02974344;.03326323;.03730409;.04195674;.04733045;.05355766;.06079986;.06925535;.07916954;.09084884;.10467971;.12115514;.14048085;.16247224;.18712793;.21464927;.24330666;.27366169;.30854524;.34693186;.38894703;.43466523;.48409799;.53718257;.59377234;.65362987;.71642403;.78173183;.84904574;.9177867;.98732224;1;1
2010;1;24;.00049648;.00016208;.00014237;.00012503;.00010978;.00009638;.00008459;.00007424;.00006514;.00005862;.00005723;.00006241;.00007601;.00010339;.00015706;.00024663;.00035421;.00044437;.00050236;.00054174;.00057325;.00059521;.00060641;.00060622;.00059893;.00059327;.00059353;.00059971;.000612;.00063076;.00065545;.0006844;.00071691;.00075335;.00079416;.00083984;.00089099;.00094826;.00101242;.00108437;.00116513;.0012559;.00135806;.00147321;.00160323;.0017503;.00191696;.00210622;.00232158;.00256716;.00284515;.00315471;.00349662;.00387411;.00429073;.0047504;.00525736;.00581631;.00643238;.00711118;.00785887;.00868222;.00958861;.01058617;.01168379;.01289123;.01421919;.01567942;.01728484;.01904963;.02099713;.0231634;.0255843;.02829349;.03132972;.03473767;.03856902;.04288375;.04775173;.05325465;.0594884;.06656615;.07462205;.08381612;.09434041;.10642705;.12035885;.13648345;.15523235;.1771473;.20225063;.23019547;.26109468;.29512359;.33184324;.37072936;.41241172;.45741057;.5057034;.55720419;.6117571;.66913239;.72902558;.7910602;.8547945;.91973223;.98533696;1;1;1;1
2011;0;24;.00043141;.00012327;.00009438;.00007652;.0000657;.00005974;.00005752;.00005865;.00006332;.0000712;.00008075;.00009102;.00010198;.00011355;.00012567;.00013932;.00015708;.00018139;.00021099;.00023974;.00026235;.0002765;.00028066;.00027437;.00026227;.00025293;.00025008;.00025351;.00026348;.00028076;.00030481;.00033305;.00036413;.00039838;.00043613;.00047776;.0005237;.00057442;.00063047;.00069243;.00076097;.00083684;.00092086;.00101398;.00111724;.00123181;.00135902;.00150034;.00165744;.0018322;.00202602;.0022396;.00247411;.00273143;.0030136;.00332281;.00366143;.00403202;.00443734;.00488036;.00536427;.00589253;.00646884;.00709718;.00778184;.00852741;.00933884;.01022142;.01118086;.01222324;.01336578;.01464068;.01607706;.01769866;.0195332;.02161317;.02397678;.02666909;.02974344;.03326323;.03730409;.04195674;.04733045;.05355766;.06079986;.06925535;.07916954;.09084884;.10467971;.12115514;.14048085;.16247224;.18712793;.21464927;.24330666;.27366169;.30854524;.34693186;.38894703;.43466523;.48409799;.53718257;.59377234;.65362987;.71642403;.78173183;.84904574;.9177867;.98732224;1;1
2011;1;24;.00049648;.00016208;.00014237;.00012503;.00010978;.00009638;.00008459;.00007424;.00006514;.00005862;.00005723;.00006241;.00007601;.00010339;.00015706;.00024663;.00035421;.00044437;.00050236;.00054174;.00057325;.00059521;.00060641;.00060622;.00059893;.00059327;.00059353;.00059971;.000612;.00063076;.00065545;.0006844;.00071691;.00075335;.00079416;.00083984;.00089099;.00094826;.00101242;.00108437;.00116513;.0012559;.00135806;.00147321;.00160323;.0017503;.00191696;.00210622;.00232158;.00256716;.00284515;.00315471;.00349662;.00387411;.00429073;.0047504;.00525736;.00581631;.00643238;.00711118;.00785887;.00868222;.00958861;.01058617;.01168379;.01289123;.01421919;.01567942;.01728484;.01904963;.02099713;.0231634;.0255843;.02829349;.03132972;.03473767;.03856902;.04288375;.04775173;.05325465;.0594884;.06656615;.07462205;.08381612;.09434041;.10642705;.12035885;.13648345;.15523235;.1771473;.20225063;.23019547;.26109468;.29512359;.33184324;.37072936;.41241172;.45741057;.5057034;.55720419;.6117571;.66913239;.72902558;.7910602;.8547945;.91973223;.98533696;1;1;1;1
2012;0;24;.00043141;.00012327;.00009438;.00007652;.0000657;.00005974;.00005752;.00005865;.00006332;.0000712;.00008075;.00009102;.00010198;.00011355;.00012567;.00013932;.00015708;.00018139;.00021099;.00023974;.00026235;.0002765;.00028066;.00027437;.00026227;.00025293;.00025008;.00025351;.00026348;.00028076;.00030481;.00033305;.00036413;.00039838;.00043613;.00047776;.0005237;.00057442;.00063047;.00069243;.00076097;.00083684;.00092086;.00101398;.00111724;.00123181;.00135902;.00150034;.00165744;.0018322;.00202602;.0022396;.00247411;.00273143;.0030136;.00332281;.00366143;.00403202;.00443734;.00488036;.00536427;.00589253;.00646884;.00709718;.00778184;.00852741;.00933884;.01022142;.01118086;.01222324;.01336578;.01464068;.01607706;.01769866;.0195332;.02161317;.02397678;.02666909;.02974344;.03326323;.03730409;.04195674;.04733045;.05355766;.06079986;.06925535;.07916954;.09084884;.10467971;.12115514;.14048085;.16247224;.18712793;.21464927;.24330666;.27366169;.30854524;.34693186;.38894703;.43466523;.48409799;.53718257;.59377234;.65362987;.71642403;.78173183;.84904574;.9177867;.98732224;1;1
2012;1;24;.00049648;.00016208;.00014237;.00012503;.00010978;.00009638;.00008459;.00007424;.00006514;.00005862;.00005723;.00006241;.00007601;.00010339;.00015706;.00024663;.00035421;.00044437;.00050236;.00054174;.00057325;.00059521;.00060641;.00060622;.00059893;.00059327;.00059353;.00059971;.000612;.00063076;.00065545;.0006844;.00071691;.00075335;.00079416;.00083984;.00089099;.00094826;.00101242;.00108437;.00116513;.0012559;.00135806;.00147321;.00160323;.0017503;.00191696;.00210622;.00232158;.00256716;.00284515;.00315471;.00349662;.00387411;.00429073;.0047504;.00525736;.00581631;.00643238;.00711118;.00785887;.00868222;.00958861;.01058617;.01168379;.01289123;.01421919;.01567942;.01728484;.01904963;.02099713;.0231634;.0255843;.02829349;.03132972;.03473767;.03856902;.04288375;.04775173;.05325465;.0594884;.06656615;.07462205;.08381612;.09434041;.10642705;.12035885;.13648345;.15523235;.1771473;.20225063;.23019547;.26109468;.29512359;.33184324;.37072936;.41241172;.45741057;.5057034;.55720419;.6117571;.66913239;.72902558;.7910602;.8547945;.91973223;.98533696;1;1;1;1
2013;0;24;.00043141;.00012327;.00009438;.00007652;.0000657;.00005974;.00005752;.00005865;.00006332;.0000712;.00008075;.00009102;.00010198;.00011355;.00012567;.00013932;.00015708;.00018139;.00021099;.00023974;.00026235;.0002765;.00028066;.00027437;.00026227;.00025293;.00025008;.00025351;.00026348;.00028076;.00030481;.00033305;.00036413;.00039838;.00043613;.00047776;.0005237;.00057442;.00063047;.00069243;.00076097;.00083684;.00092086;.00101398;.00111724;.00123181;.00135902;.00150034;.00165744;.0018322;.00202602;.0022396;.00247411;.00273143;.0030136;.00332281;.00366143;.00403202;.00443734;.00488036;.00536427;.00589253;.00646884;.00709718;.00778184;.00852741;.00933884;.01022142;.01118086;.01222324;.01336578;.01464068;.01607706;.01769866;.0195332;.02161317;.02397678;.02666909;.02974344;.03326323;.03730409;.04195674;.04733045;.05355766;.06079986;.06925535;.07916954;.09084884;.10467971;.12115514;.14048085;.16247224;.18712793;.21464927;.24330666;.27366169;.30854524;.34693186;.38894703;.43466523;.48409799;.53718257;.59377234;.65362987;.71642403;.78173183;.84904574;.9177867;.98732224;1;1
2013;1;24;.00049648;.00016208;.00014237;.00012503;.00010978;.00009638;.00008459;.00007424;.00006514;.00005862;.00005723;.00006241;.00007601;.00010339;.00015706;.00024663;.00035421;.00044437;.00050236;.00054174;.00057325;.00059521;.00060641;.00060622;.00059893;.00059327;.00059353;.00059971;.000612;.00063076;.00065545;.0006844;.00071691;.00075335;.00079416;.00083984;.00089099;.00094826;.00101242;.00108437;.00116513;.0012559;.00135806;.00147321;.00160323;.0017503;.00191696;.00210622;.00232158;.00256716;.00284515;.00315471;.00349662;.00387411;.00429073;.0047504;.00525736;.00581631;.00643238;.00711118;.00785887;.00868222;.00958861;.01058617;.01168379;.01289123;.01421919;.01567942;.01728484;.01904963;.02099713;.0231634;.0255843;.02829349;.03132972;.03473767;.03856902;.04288375;.04775173;.05325465;.0594884;.06656615;.07462205;.08381612;.09434041;.10642705;.12035885;.13648345;.15523235;.1771473;.20225063;.23019547;.26109468;.29512359;.33184324;.37072936;.41241172;.45741057;.5057034;.55720419;.6117571;.66913239;.72902558;.7910602;.8547945;.91973223;.98533696;1;1;1;1
2014;0;24;.00042157;.00011918;.00009132;.0000741;.00006367;.00005793;.00005582;.00005697;.00006156;.00006928;.00007865;.00008874;.00009954;.00011097;.00012298;.00013654;.00015414;.00017822;.00020752;.000236;.00025844;.00027252;.00027672;.00027058;.00025867;.00024945;.00024664;.00025;.00025981;.00027681;.00030046;.00032823;.00035881;.00039248;.0004296;.00047053;.00051569;.00056556;.00062065;.00068155;.00074891;.00082346;.00090603;.00099753;.00109899;.00121155;.00133653;.00147537;.0016297;.00180137;.00199176;.00220155;.00243191;.00268467;.00296183;.00326557;.0035982;.00396224;.00436041;.00479564;.00527106;.00579008;.00635635;.00697378;.0076466;.00837935;.00917689;.01004445;.01098765;.01201251;.01313619;.01439079;.01580524;.01740316;.01921221;.02126479;.02359906;.02626008;.02930123;.03278602;.03679031;.04140518;.04674049;.05292952;.06013503;.06855709;.07844367;.09010482;.10393218;.12042616;.13975384;.1617089;.18632145;.21379156;.24240706;.27272413;.30754327;.34585355;.38777998;.43339691;.48271617;.53567584;.59213069;.65184537;.71449143;.77964916;.84681479;.91541335;.98481657;1;1
2014;1;24;.00048356;.00015651;.000137;.00012001;.00010519;.00009226;.00008098;.00007112;.00006251;.00005638;.00005517;.00006027;.00007351;.0001001;.00015217;.00023909;.00034367;.00043169;.00048878;.0005279;.00055934;.0005814;.00059286;.00059308;.00058624;.00058099;.00058153;.00058789;.00060025;.00061899;.00064357;.00067233;.00070456;.00074063;.00078098;.00082609;.00087653;.00093294;.00099608;.0010668;.00114611;.00123515;.00133527;.001448;.00157516;.00171884;.00188149;.00206598;.00227566;.00251449;.00278458;.00308521;.00341721;.00378373;.00418824;.00463456;.00512687;.00566975;.00626825;.0069279;.00765478;.00845555;.00933754;.01030879;.01137813;.01255528;.01385092;.01527679;.01684584;.01857229;.02047937;.02260275;.02497804;.02763892;.03062418;.03397865;.03775423;.04201129;.04682021;.05226344;.05843794;.06545829;.0734606;.0826075;.09309456;.10515864;.11908893;.13524168;.15406022;.17610252;.20126308;.22912687;.2599262;.29383401;.33043266;.36919665;.4107201;.4555363;.50362274;.55489423;.60919658;.66630274;.72591187;.78765214;.85108735;.91572749;.98104282;1;1;1;1
