var;tx_em
age04;2.07122549411402
age59;1.45205396075976
age1014;0.943830354711169
age1519;0.533166511455971
age2024;1.15911590168319
age2529;2.28949930118608
age3034;2.63890952659505
age3539;2.10709811348872
age4044;1.55081372215316
age4549;1.18727198326292
age5054;0.81088493781228
age5559;0.55169541440096
age6064;0.415024558408849
age6569;0.385724592640854
age7074;0.283478575373532
age7579;0.30616095522218
age8084;0.331694477286953
age8589;0.310502137687794
age90p;0.356529776838769
