var;less_than_des;dec;uni
"male";.4627301;-.1001712;-.4914933
"mother";.1857522;-.2867891;-1.543005
"father";-.0099931;-.5897956;-.8827676
"age18";-5.904185;.3797901;-.4415034
"age19";-5.256105;.8407651;.6732099
"age20";-21.45937;.9527239;1.942343
"age21";-21.11223;1.086244;3.304646
"age22";-20.61679;1.210971;4.598125
"age23";-20.83339;.650393;4.852584
"age24";-20.92404;.5176684;4.884404
"age25";-21.07528;.4560201;4.607733
"age26";-20.95283;.7265896;4.863803
"age27";-20.76051;1.036335;4.810428
"age28";-20.96605;.9623725;4.764405
"age29";-20.9588;.6281874;5.144333
"age30";-21.29146;.3297367;4.534391
"age31";-21.23528;.3064052;4.765809
"age32";-21.23727;.4195594;4.726652
"age33";-20.74847;1.238602;5.231394
"age34";-3.749564;.9053658;4.494845
"age35";-4.728669;.2273138;4.376032
"constant";1.200215;-.1396193;-3.081985
