year;male;CGT;tx0;tx1;tx2;tx3;tx4;tx5;tx6;tx7;tx8;tx9;tx10;tx11;tx12;tx13;tx14;tx15;tx16;tx17;tx18;tx19;tx20;tx21;tx22;tx23;tx24;tx25;tx26;tx27;tx28;tx29;tx30;tx31;tx32;tx33;tx34;tx35;tx36;tx37;tx38;tx39;tx40;tx41;tx42;tx43;tx44;tx45;tx46;tx47;tx48;tx49;tx50;tx51;tx52;tx53;tx54;tx55;tx56;tx57;tx58;tx59;tx60;tx61;tx62;tx63;tx64;tx65;tx66;tx67;tx68;tx69;tx70;tx71;tx72;tx73;tx74;tx75;tx76;tx77;tx78;tx79;tx80;tx81;tx82;tx83;tx84;tx85;tx86;tx87;tx88;tx89;tx90;tx91;tx92;tx93;tx94;tx95;tx96;tx97;tx98;tx99;tx100;tx101;tx102;tx103;tx104;tx105;tx106;tx107;tx108;tx109;tx110
2010;0;24;.00043943;.00012677;.0000971;.00007874;.0000676;.00006145;.00005914;.00006026;.00006501;.00007302;.00008272;.00009312;.00010418;.00011583;.00012798;.00014165;.00015946;.00018391;.0002137;.00024263;.00026537;.00027959;.00028378;.00027746;.00026532;.00025596;.00025314;.00025667;.0002668;.00028433;.00030868;.00033728;.00036876;.00040345;.00044168;.00048385;.00053039;.00058178;.00063857;.00070135;.0007708;.00084769;.00093284;.00102723;.0011319;.00124805;.00137702;.00152032;.00167963;.00185686;.00205345;.00227009;.00250797;.00276899;.00305522;.00336888;.00371238;.00408831;.00449947;.00494886;.00543974;.00597558;.00656015;.00719748;.0078919;.00864808;.00947102;.01036608;.01133903;.01239604;.01355434;.0148462;.01630089;.01794221;.01979794;.02190064;.02428852;.02700664;.03010828;.0336567;.03772733;.04241049;.04781494;.05407231;.06134295;.06982354;.07975717;.09144703;.10527494;.12172736;.14103578;.16303054;.18768798;.2152095;.24386143;.27420596;.30908193;.34746037;.38946667;.4351752;.48459739;.53767041;.59424751;.65409121;.71687031;.78216179;.84945815;.91818038;.98769614;1;1
2010;1;24;.0005031;.00016503;.0001452;.00012768;.00011221;.00009855;.00008651;.00007589;.00006655;.00005983;.00005836;.00006358;.00007738;.00010518;.00015971;.00025068;.00035983;.00045109;.00050953;.00054904;.00058059;.00060251;.0006136;.00061325;.00060576;.00059994;.00060009;.0006062;.00061846;.00063725;.000662;.00069106;.00072372;.00076035;.00080141;.00084741;.00089893;.00095665;.00102136;.00109395;.00117548;.00126716;.00137039;.00148681;.00161832;.00176716;.00193593;.00212767;.00234598;.00259507;.00287717;.00319137;.00353843;.00392161;.00434453;.00481112;.0053257;.00589299;.00651817;.00720691;.00796541;.00880048;.00971955;.01073078;.01184309;.01306627;.01441104;.01588917;.01751354;.01929833;.02126692;.02345557;.02590021;.02863451;.03169717;.03513277;.03899285;.0433372;.04823535;.05376857;.06003218;.06713851;.07522066;.08443719;.09497824;.10707335;.12100188;.13710677;.15581322;.17765423;.2027046;.23064613;.26154106;.29556477;.3322776;.37115451;.41282638;.45781426;.50609559;.5575843;.61212448;.6694864;.72936556;.79138548;.85510446;.92002633;.98561472;1;1;1;1
2011;0;24;.00043943;.00012677;.0000971;.00007874;.0000676;.00006145;.00005914;.00006026;.00006501;.00007302;.00008272;.00009312;.00010418;.00011583;.00012798;.00014165;.00015946;.00018391;.0002137;.00024263;.00026537;.00027959;.00028378;.00027746;.00026532;.00025596;.00025314;.00025667;.0002668;.00028433;.00030868;.00033728;.00036876;.00040345;.00044168;.00048385;.00053039;.00058178;.00063857;.00070135;.0007708;.00084769;.00093284;.00102723;.0011319;.00124805;.00137702;.00152032;.00167963;.00185686;.00205345;.00227009;.00250797;.00276899;.00305522;.00336888;.00371238;.00408831;.00449947;.00494886;.00543974;.00597558;.00656015;.00719748;.0078919;.00864808;.00947102;.01036608;.01133903;.01239604;.01355434;.0148462;.01630089;.01794221;.01979794;.02190064;.02428852;.02700664;.03010828;.0336567;.03772733;.04241049;.04781494;.05407231;.06134295;.06982354;.07975717;.09144703;.10527494;.12172736;.14103578;.16303054;.18768798;.2152095;.24386143;.27420596;.30908193;.34746037;.38946667;.4351752;.48459739;.53767041;.59424751;.65409121;.71687031;.78216179;.84945815;.91818038;.98769614;1;1
2011;1;24;.0005031;.00016503;.0001452;.00012768;.00011221;.00009855;.00008651;.00007589;.00006655;.00005983;.00005836;.00006358;.00007738;.00010518;.00015971;.00025068;.00035983;.00045109;.00050953;.00054904;.00058059;.00060251;.0006136;.00061325;.00060576;.00059994;.00060009;.0006062;.00061846;.00063725;.000662;.00069106;.00072372;.00076035;.00080141;.00084741;.00089893;.00095665;.00102136;.00109395;.00117548;.00126716;.00137039;.00148681;.00161832;.00176716;.00193593;.00212767;.00234598;.00259507;.00287717;.00319137;.00353843;.00392161;.00434453;.00481112;.0053257;.00589299;.00651817;.00720691;.00796541;.00880048;.00971955;.01073078;.01184309;.01306627;.01441104;.01588917;.01751354;.01929833;.02126692;.02345557;.02590021;.02863451;.03169717;.03513277;.03899285;.0433372;.04823535;.05376857;.06003218;.06713851;.07522066;.08443719;.09497824;.10707335;.12100188;.13710677;.15581322;.17765423;.2027046;.23064613;.26154106;.29556477;.3322776;.37115451;.41282638;.45781426;.50609559;.5575843;.61212448;.6694864;.72936556;.79138548;.85510446;.92002633;.98561472;1;1;1;1
2012;0;24;.00043943;.00012677;.0000971;.00007874;.0000676;.00006145;.00005914;.00006026;.00006501;.00007302;.00008272;.00009312;.00010418;.00011583;.00012798;.00014165;.00015946;.00018391;.0002137;.00024263;.00026537;.00027959;.00028378;.00027746;.00026532;.00025596;.00025314;.00025667;.0002668;.00028433;.00030868;.00033728;.00036876;.00040345;.00044168;.00048385;.00053039;.00058178;.00063857;.00070135;.0007708;.00084769;.00093284;.00102723;.0011319;.00124805;.00137702;.00152032;.00167963;.00185686;.00205345;.00227009;.00250797;.00276899;.00305522;.00336888;.00371238;.00408831;.00449947;.00494886;.00543974;.00597558;.00656015;.00719748;.0078919;.00864808;.00947102;.01036608;.01133903;.01239604;.01355434;.0148462;.01630089;.01794221;.01979794;.02190064;.02428852;.02700664;.03010828;.0336567;.03772733;.04241049;.04781494;.05407231;.06134295;.06982354;.07975717;.09144703;.10527494;.12172736;.14103578;.16303054;.18768798;.2152095;.24386143;.27420596;.30908193;.34746037;.38946667;.4351752;.48459739;.53767041;.59424751;.65409121;.71687031;.78216179;.84945815;.91818038;.98769614;1;1
2012;1;24;.0005031;.00016503;.0001452;.00012768;.00011221;.00009855;.00008651;.00007589;.00006655;.00005983;.00005836;.00006358;.00007738;.00010518;.00015971;.00025068;.00035983;.00045109;.00050953;.00054904;.00058059;.00060251;.0006136;.00061325;.00060576;.00059994;.00060009;.0006062;.00061846;.00063725;.000662;.00069106;.00072372;.00076035;.00080141;.00084741;.00089893;.00095665;.00102136;.00109395;.00117548;.00126716;.00137039;.00148681;.00161832;.00176716;.00193593;.00212767;.00234598;.00259507;.00287717;.00319137;.00353843;.00392161;.00434453;.00481112;.0053257;.00589299;.00651817;.00720691;.00796541;.00880048;.00971955;.01073078;.01184309;.01306627;.01441104;.01588917;.01751354;.01929833;.02126692;.02345557;.02590021;.02863451;.03169717;.03513277;.03899285;.0433372;.04823535;.05376857;.06003218;.06713851;.07522066;.08443719;.09497824;.10707335;.12100188;.13710677;.15581322;.17765423;.2027046;.23064613;.26154106;.29556477;.3322776;.37115451;.41282638;.45781426;.50609559;.5575843;.61212448;.6694864;.72936556;.79138548;.85510446;.92002633;.98561472;1;1;1;1
2013;0;24;.00043943;.00012677;.0000971;.00007874;.0000676;.00006145;.00005914;.00006026;.00006501;.00007302;.00008272;.00009312;.00010418;.00011583;.00012798;.00014165;.00015946;.00018391;.0002137;.00024263;.00026537;.00027959;.00028378;.00027746;.00026532;.00025596;.00025314;.00025667;.0002668;.00028433;.00030868;.00033728;.00036876;.00040345;.00044168;.00048385;.00053039;.00058178;.00063857;.00070135;.0007708;.00084769;.00093284;.00102723;.0011319;.00124805;.00137702;.00152032;.00167963;.00185686;.00205345;.00227009;.00250797;.00276899;.00305522;.00336888;.00371238;.00408831;.00449947;.00494886;.00543974;.00597558;.00656015;.00719748;.0078919;.00864808;.00947102;.01036608;.01133903;.01239604;.01355434;.0148462;.01630089;.01794221;.01979794;.02190064;.02428852;.02700664;.03010828;.0336567;.03772733;.04241049;.04781494;.05407231;.06134295;.06982354;.07975717;.09144703;.10527494;.12172736;.14103578;.16303054;.18768798;.2152095;.24386143;.27420596;.30908193;.34746037;.38946667;.4351752;.48459739;.53767041;.59424751;.65409121;.71687031;.78216179;.84945815;.91818038;.98769614;1;1
2013;1;24;.0005031;.00016503;.0001452;.00012768;.00011221;.00009855;.00008651;.00007589;.00006655;.00005983;.00005836;.00006358;.00007738;.00010518;.00015971;.00025068;.00035983;.00045109;.00050953;.00054904;.00058059;.00060251;.0006136;.00061325;.00060576;.00059994;.00060009;.0006062;.00061846;.00063725;.000662;.00069106;.00072372;.00076035;.00080141;.00084741;.00089893;.00095665;.00102136;.00109395;.00117548;.00126716;.00137039;.00148681;.00161832;.00176716;.00193593;.00212767;.00234598;.00259507;.00287717;.00319137;.00353843;.00392161;.00434453;.00481112;.0053257;.00589299;.00651817;.00720691;.00796541;.00880048;.00971955;.01073078;.01184309;.01306627;.01441104;.01588917;.01751354;.01929833;.02126692;.02345557;.02590021;.02863451;.03169717;.03513277;.03899285;.0433372;.04823535;.05376857;.06003218;.06713851;.07522066;.08443719;.09497824;.10707335;.12100188;.13710677;.15581322;.17765423;.2027046;.23064613;.26154106;.29556477;.3322776;.37115451;.41282638;.45781426;.50609559;.5575843;.61212448;.6694864;.72936556;.79138548;.85510446;.92002633;.98561472;1;1;1;1
2014;0;24;.00043333;.00012426;.00009526;.00007731;.00006643;.00006043;.00005819;.00005932;.00006402;.00007194;.00008152;.00009181;.00010276;.00011431;.00012638;.00013996;.00015766;.00018194;.00021153;.00024028;.00026292;.00027712;.00028137;.00027519;.00026321;.00025396;.0002512;.0002547;.00026474;.0002821;.00030621;.00033452;.00036568;.00040001;.00043785;.00047958;.00052563;.00057648;.00063266;.00069477;.00076349;.00083955;.00092379;.00101716;.0011207;.00123561;.00136319;.00150494;.00166255;.00183788;.00203236;.00224668;.00248201;.00274024;.00302341;.00333372;.00367357;.0040455;.00445231;.00489695;.00538267;.0059129;.00649138;.0071221;.00780937;.00855781;.00937237;.01025839;.01122159;.01226809;.0134151;.01469481;.01613638;.01776354;.01960403;.02169035;.02406069;.02676009;.02984186;.03336932;.037418;.04207846;.04745976;.05369401;.06094225;.06940217;.0793183;.09099584;.10481952;.12127994;.14058242;.1625428;.18715818;.21462872;.24323623;.27353777;.30834565;.34664375;.38855693;.43415941;.48346287;.53640523;.59284113;.6525351;.71515862;.78029193;.84743131;.91600187;.98537552;1;1
2014;1;24;.00049326;.00016081;.00014112;.00012384;.00010869;.0000954;.00008375;.00007352;.00006455;.00005813;.0000568;.00006197;.0000755;.00010272;.00015603;.000245;.00035187;.00044152;.00049928;.00053861;.00057012;.00059213;.00060344;.00060342;.00059631;.00059081;.00059119;.00059746;.00060979;.00062857;.00065325;.00068217;.00071462;.00075099;.00079171;.00083727;.00088827;.00094535;.00100929;.00108097;.00116141;.0012518;.00135349;.0014681;.00159746;.00174374;.00190948;.00209762;.00231163;.00255561;.00283172;.00313915;.00347868;.00385354;.00426726;.00472371;.00522715;.00578223;.00639407;.00706826;.00781096;.00862889;.00952943;.01052071;.01161159;.01281183;.01413215;.0155843;.01718121;.0189371;.02087526;.02303163;.02544198;.02813998;.03116435;.0345598;.03837805;.04267913;.047533;.05302147;.05924065;.06630393;.07434583;.08352686;.09403971;.10611741;.12004397;.13616864;.15492521;.17685849;.2019408;.22979974;.26059273;.29449277;.33108127;.36983151;.41133928;.45613904;.50420824;.55546161;.6097449;.66683102;.72641912;.78813741;.85154971;.91616613;.98145706;1;1;1;1
