year;male;CGT;tx0;tx1;tx2;tx3;tx4;tx5;tx6;tx7;tx8;tx9;tx10;tx11;tx12;tx13;tx14;tx15;tx16;tx17;tx18;tx19;tx20;tx21;tx22;tx23;tx24;tx25;tx26;tx27;tx28;tx29;tx30;tx31;tx32;tx33;tx34;tx35;tx36;tx37;tx38;tx39;tx40;tx41;tx42;tx43;tx44;tx45;tx46;tx47;tx48;tx49;tx50;tx51;tx52;tx53;tx54;tx55;tx56;tx57;tx58;tx59;tx60;tx61;tx62;tx63;tx64;tx65;tx66;tx67;tx68;tx69;tx70;tx71;tx72;tx73;tx74;tx75;tx76;tx77;tx78;tx79;tx80;tx81;tx82;tx83;tx84;tx85;tx86;tx87;tx88;tx89;tx90;tx91;tx92;tx93;tx94;tx95;tx96;tx97;tx98;tx99;tx100;tx101;tx102;tx103;tx104;tx105;tx106;tx107;tx108;tx109;tx110
2010;0;24;.00041628;.00011676;.00008933;.0000724;.00006216;.00005655;.0000545;.00005564;.00006018;.0000678;.00007707;.00008709;.00009784;.00010926;.0001213;.00013492;.00015256;.0001766;.00020584;.00023424;.0002566;.0002706;.0002747;.00026846;.00025645;.00024715;.00024423;.00024749;.00025715;.00027398;.00029744;.00032499;.00035532;.00038873;.00042555;.00046615;.00051095;.00056041;.00061505;.00067545;.00074225;.00081619;.00089805;.00098877;.00108934;.00120092;.00132477;.00146234;.00161524;.00178529;.00197385;.00218162;.00240973;.00266003;.00293448;.00323523;.00356458;.00392503;.00431926;.00475017;.00522087;.00573472;.00629534;.00690661;.00757271;.00829813;.00908769;.00994657;.01088033;.01189493;.01300752;.01425015;.01565168;.01723569;.01902979;.02106636;.02338356;.02602644;.02904847;.03251324;.03649685;.04109064;.04640492;.05257365;.05976048;.06816682;.07804249;.08970018;.10353524;.12005341;.13941109;.16139516;.18604677;.21356717;.24223455;.27260941;.30750722;.34590933;.38794138;.43367804;.48313104;.53623783;.59285195;.65273614;.71555937;.78089868;.84824651;.91702368;.98659751;1;1
2010;1;24;.00048438;.0001567;.00013723;.00012024;.0001054;.00009245;.00008114;.00007124;.00006259;.00005643;.0000552;.00006029;.00007353;.00010013;.00015225;.00023926;.00034398;.00043211;.00048926;.00052839;.00055981;.00058183;.00059322;.00059333;.00058639;.00058104;.00058151;.0005878;.00060012;.00061884;.0006434;.00067216;.00070439;.00074046;.00078081;.00082593;.00087638;.00093281;.00099597;.00106673;.00114608;.00123518;.00133537;.0014482;.00157547;.00171929;.00188212;.00206682;.00227677;.00251593;.00278642;.00308751;.00342001;.0037871;.00419225;.00463926;.00513234;.00567607;.00627549;.00693615;.00766411;.00846605;.00934929;.01032188;.01139263;.01257127;.01386846;.01529594;.01686662;.01859473;.0205035;.02262867;.0250059;.02766887;.03065641;.03401334;.03779159;.04205154;.04686361;.05231025;.05848847;.06551286;.07351959;.08267132;.09316365;.10523352;.11917016;.13532989;.15415611;.17620687;.20140756;.2293582;.26026506;.29430338;.33103547;.36993854;.41164023;.45665935;.50497346;.55649665;.61107314;.66847325;.72839252;.79045445;.85421722;.91918446;.98481958;1;1;1;1
2011;0;24;.00041628;.00011676;.00008933;.0000724;.00006216;.00005655;.0000545;.00005564;.00006018;.0000678;.00007707;.00008709;.00009784;.00010926;.0001213;.00013492;.00015256;.0001766;.00020584;.00023424;.0002566;.0002706;.0002747;.00026846;.00025645;.00024715;.00024423;.00024749;.00025715;.00027398;.00029744;.00032499;.00035532;.00038873;.00042555;.00046615;.00051095;.00056041;.00061505;.00067545;.00074225;.00081619;.00089805;.00098877;.00108934;.00120092;.00132477;.00146234;.00161524;.00178529;.00197385;.00218162;.00240973;.00266003;.00293448;.00323523;.00356458;.00392503;.00431926;.00475017;.00522087;.00573472;.00629534;.00690661;.00757271;.00829813;.00908769;.00994657;.01088033;.01189493;.01300752;.01425015;.01565168;.01723569;.01902979;.02106636;.02338356;.02602644;.02904847;.03251324;.03649685;.04109064;.04640492;.05257365;.05976048;.06816682;.07804249;.08970018;.10353524;.12005341;.13941109;.16139516;.18604677;.21356717;.24223455;.27260941;.30750722;.34590933;.38794138;.43367804;.48313104;.53623783;.59285195;.65273614;.71555937;.78089868;.84824651;.91702368;.98659751;1;1
2011;1;24;.00048438;.0001567;.00013723;.00012024;.0001054;.00009245;.00008114;.00007124;.00006259;.00005643;.0000552;.00006029;.00007353;.00010013;.00015225;.00023926;.00034398;.00043211;.00048926;.00052839;.00055981;.00058183;.00059322;.00059333;.00058639;.00058104;.00058151;.0005878;.00060012;.00061884;.0006434;.00067216;.00070439;.00074046;.00078081;.00082593;.00087638;.00093281;.00099597;.00106673;.00114608;.00123518;.00133537;.0014482;.00157547;.00171929;.00188212;.00206682;.00227677;.00251593;.00278642;.00308751;.00342001;.0037871;.00419225;.00463926;.00513234;.00567607;.00627549;.00693615;.00766411;.00846605;.00934929;.01032188;.01139263;.01257127;.01386846;.01529594;.01686662;.01859473;.0205035;.02262867;.0250059;.02766887;.03065641;.03401334;.03779159;.04205154;.04686361;.05231025;.05848847;.06551286;.07351959;.08267132;.09316365;.10523352;.11917016;.13532989;.15415611;.17620687;.20140756;.2293582;.26026506;.29430338;.33103547;.36993854;.41164023;.45665935;.50497346;.55649665;.61107314;.66847325;.72839252;.79045445;.85421722;.91918446;.98481958;1;1;1;1
2012;0;24;.00041628;.00011676;.00008933;.0000724;.00006216;.00005655;.0000545;.00005564;.00006018;.0000678;.00007707;.00008709;.00009784;.00010926;.0001213;.00013492;.00015256;.0001766;.00020584;.00023424;.0002566;.0002706;.0002747;.00026846;.00025645;.00024715;.00024423;.00024749;.00025715;.00027398;.00029744;.00032499;.00035532;.00038873;.00042555;.00046615;.00051095;.00056041;.00061505;.00067545;.00074225;.00081619;.00089805;.00098877;.00108934;.00120092;.00132477;.00146234;.00161524;.00178529;.00197385;.00218162;.00240973;.00266003;.00293448;.00323523;.00356458;.00392503;.00431926;.00475017;.00522087;.00573472;.00629534;.00690661;.00757271;.00829813;.00908769;.00994657;.01088033;.01189493;.01300752;.01425015;.01565168;.01723569;.01902979;.02106636;.02338356;.02602644;.02904847;.03251324;.03649685;.04109064;.04640492;.05257365;.05976048;.06816682;.07804249;.08970018;.10353524;.12005341;.13941109;.16139516;.18604677;.21356717;.24223455;.27260941;.30750722;.34590933;.38794138;.43367804;.48313104;.53623783;.59285195;.65273614;.71555937;.78089868;.84824651;.91702368;.98659751;1;1
2012;1;24;.00048438;.0001567;.00013723;.00012024;.0001054;.00009245;.00008114;.00007124;.00006259;.00005643;.0000552;.00006029;.00007353;.00010013;.00015225;.00023926;.00034398;.00043211;.00048926;.00052839;.00055981;.00058183;.00059322;.00059333;.00058639;.00058104;.00058151;.0005878;.00060012;.00061884;.0006434;.00067216;.00070439;.00074046;.00078081;.00082593;.00087638;.00093281;.00099597;.00106673;.00114608;.00123518;.00133537;.0014482;.00157547;.00171929;.00188212;.00206682;.00227677;.00251593;.00278642;.00308751;.00342001;.0037871;.00419225;.00463926;.00513234;.00567607;.00627549;.00693615;.00766411;.00846605;.00934929;.01032188;.01139263;.01257127;.01386846;.01529594;.01686662;.01859473;.0205035;.02262867;.0250059;.02766887;.03065641;.03401334;.03779159;.04205154;.04686361;.05231025;.05848847;.06551286;.07351959;.08267132;.09316365;.10523352;.11917016;.13532989;.15415611;.17620687;.20140756;.2293582;.26026506;.29430338;.33103547;.36993854;.41164023;.45665935;.50497346;.55649665;.61107314;.66847325;.72839252;.79045445;.85421722;.91918446;.98481958;1;1;1;1
2013;0;24;.00041628;.00011676;.00008933;.0000724;.00006216;.00005655;.0000545;.00005564;.00006018;.0000678;.00007707;.00008709;.00009784;.00010926;.0001213;.00013492;.00015256;.0001766;.00020584;.00023424;.0002566;.0002706;.0002747;.00026846;.00025645;.00024715;.00024423;.00024749;.00025715;.00027398;.00029744;.00032499;.00035532;.00038873;.00042555;.00046615;.00051095;.00056041;.00061505;.00067545;.00074225;.00081619;.00089805;.00098877;.00108934;.00120092;.00132477;.00146234;.00161524;.00178529;.00197385;.00218162;.00240973;.00266003;.00293448;.00323523;.00356458;.00392503;.00431926;.00475017;.00522087;.00573472;.00629534;.00690661;.00757271;.00829813;.00908769;.00994657;.01088033;.01189493;.01300752;.01425015;.01565168;.01723569;.01902979;.02106636;.02338356;.02602644;.02904847;.03251324;.03649685;.04109064;.04640492;.05257365;.05976048;.06816682;.07804249;.08970018;.10353524;.12005341;.13941109;.16139516;.18604677;.21356717;.24223455;.27260941;.30750722;.34590933;.38794138;.43367804;.48313104;.53623783;.59285195;.65273614;.71555937;.78089868;.84824651;.91702368;.98659751;1;1
2013;1;24;.00048438;.0001567;.00013723;.00012024;.0001054;.00009245;.00008114;.00007124;.00006259;.00005643;.0000552;.00006029;.00007353;.00010013;.00015225;.00023926;.00034398;.00043211;.00048926;.00052839;.00055981;.00058183;.00059322;.00059333;.00058639;.00058104;.00058151;.0005878;.00060012;.00061884;.0006434;.00067216;.00070439;.00074046;.00078081;.00082593;.00087638;.00093281;.00099597;.00106673;.00114608;.00123518;.00133537;.0014482;.00157547;.00171929;.00188212;.00206682;.00227677;.00251593;.00278642;.00308751;.00342001;.0037871;.00419225;.00463926;.00513234;.00567607;.00627549;.00693615;.00766411;.00846605;.00934929;.01032188;.01139263;.01257127;.01386846;.01529594;.01686662;.01859473;.0205035;.02262867;.0250059;.02766887;.03065641;.03401334;.03779159;.04205154;.04686361;.05231025;.05848847;.06551286;.07351959;.08267132;.09316365;.10523352;.11917016;.13532989;.15415611;.17620687;.20140756;.2293582;.26026506;.29430338;.33103547;.36993854;.41164023;.45665935;.50497346;.55649665;.61107314;.66847325;.72839252;.79045445;.85421722;.91918446;.98481958;1;1;1;1
2014;0;24;.0003997;.00010992;.00008413;.00006823;.00005863;.00005339;.00005151;.00005267;.00005706;.0000644;.00007336;.00008308;.00009356;.00010477;.00011665;.00013013;.00014755;.00017121;.00019995;.0002279;.00024996;.00026381;.00026793;.00026186;.00025009;.00024094;.00023803;.00024113;.00025049;.00026683;.00028961;.00031638;.00034584;.00037829;.00041404;.00045347;.00049696;.00054497;.000598;.00065661;.00072143;.00079315;.00087256;.00096053;.00105806;.00116623;.0012863;.00141965;.00156783;.0017326;.0019153;.00211659;.00233759;.00258008;.00284596;.00313732;.0034564;.00380561;.00418756;.00460507;.00506117;.00555912;.00610243;.00669489;.00734056;.00804381;.00880934;.0096422;.0105478;.01153197;.01261178;.01381906;.01518236;.01672508;.01847463;.02046329;.0227291;.02531711;.02828082;.03168406;.03560328;.04013051;.04537709;.0514785;.05860068;.06694829;.07677584;.0884027;.10223379;.11878863;.13816173;.16010475;.18471028;.21217819;.2408079;.27115388;.30599386;.34432692;.38627829;.43192259;.48127193;.53426466;.59075582;.65051027;.7131997;.77840446;.84562073;.91427334;.9837337;1;1
2014;1;24;.00046599;.00014879;.00012965;.00011317;.00009896;.00008668;.00007607;.00006687;.00005888;.00005326;.00005226;.00005723;.00006995;.00009541;.00014523;.00022846;.00032889;.00041395;.00046979;.00050851;.00053978;.00056191;.00057363;.00057427;.00056794;.00056312;.00056395;.00057047;.00058286;.00060152;.00062591;.00065437;.00068618;.00072172;.00076138;.00080564;.00085505;.00091023;.0009719;.00104088;.00111812;.00120472;.00130195;.00141129;.00153443;.00167337;.00183042;.00200828;.00221011;.00243961;.00269881;.00298716;.00330554;.00365699;.00404488;.00447289;.00494509;.00546594;.00604036;.00667374;.00737203;.00814179;.0089902;.00992521;.01095555;.01209085;.01334173;.01471991;.0162383;.01791121;.01976166;.02182486;.0241361;.02672908;.02964269;.03292192;.03661905;.04079496;.04552083;.05088022;.05697166;.06391186;.07183984;.08092212;.09135956;.1033961;.11733056;.13353221;.15246225;.17470331;.20000669;.22787869;.25868913;.29261075;.32922779;.36801686;.4095691;.45441552;.50253376;.55383872;.60817634;.66531961;.72496772;.78674881;.85022654;.91491074;.98027142;1;1;1;1
